TrH2_hyp_clust10124.t1	DDE_Tnp_4
TrH2_TrispH2_008488-RA	COR Death
TrH2_TrispH2_008489-RA	7tm_1
TrH2_TrispH2_008490-RA	
TrH2_TrispH2_008491-RA	7tm_1
TrH2_TrispH2_008492-RA	WD40
TrH2_TrispH2_008493-RA	zf-MYST MOZ_SAS
TrH2_TrispH2_008494-RA	7tm_1
TrH2_TrispH2_008495-RA	7tm_1
TrH2_TrispH2_008496-RA	7tm_1
TrH2_TrispH2_008497-RA	7tm_1
TrH2_TrispH2_008498-RA	Nas2_N PDZ_6
TrH2_TrispH2_008499-RA	CARD NB-ARC APAF1_C
TrH2_TrispH2_008500-RA	7tm_1
TrH2_TrispH2_008501-RA	VKG_Carbox
TrH2_TrispH2_008502-RA	adh_short
TrH2_TrispH2_008503-RA	Dor1
TrH2_TrispH2_008504-RA	7tm_1
TrH2_TrispH2_008505-RA	AKAP7_NLS
TrH2_TrispH2_008506-RA	
TrH2_TrispH2_008507-RA	Arm_vescicular Uso1_p115_head
TrH2_TrispH2_008508-RA	7tm_1
TrH2_TrispH2_008509-RA	RCC1_2 RCC1_2 RCC1 RCC1 RCC1
TrH2_TrispH2_008510-RA	TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_10 TPR_12 TPR_12 TPR_12 TPR_8
TrH2_TrispH2_008511-RA	7tm_1
TrH2_TrispH2_008512-RA	7tm_1
TrH2_TrispH2_008513-RA	
TrH2_TrispH2_008514-RA	Pex2_Pex12 zf-C3HC4
TrH2_TrispH2_008515-RA	7tm_1
TrH2_TrispH2_008516-RA	Urb2
TrH2_TrispH2_008517-RA	IQ
TrH2_TrispH2_008518-RA	Ribosomal_L35Ae
TrH2_TrispH2_008519-RA	Cyclin_N Cyclin_C
TrH2_TrispH2_008520-RA	
TrH2_TrispH2_008521-RA	TAF TAF6_C
TrH2_TrispH2_008522-RA	Cwf_Cwc_15
TrH2_TrispH2_008523-RA	TAF TAF6_C
TrH2_TrispH2_008524-RA	
TrH2_TrispH2_008525-RA	MM_CoA_mutase B12-binding
TrH2_TrispH2_008526-RA	TFIIIC_delta
TrH2_TrispH2_008527-RA	Methyltransf_16
TrH2_TrispH2_008528-RA	Fer2_4 NADH-G_4Fe-4S_3 Molybdopterin NADH_dhqG_C
TrH2_TrispH2_008529-RA	DUF4539
TrH2_TrispH2_008530-RA	Alpha-2-MRAP_N
TrH2_TrispH2_008531-RA	DUF4062 NACHT
TrH2_TrispH2_008532-RA	DnaJ Thioredoxin Thioredoxin Thioredoxin Thioredoxin
TrH2_TrispH2_008533-RA	
TrH2_TrispH2_008534-RA	Aa_trans
TrH2_TrispH2_008535-RA	FGGY_N FGGY_C
TrH2_TrispH2_008536-RA	EF-hand_5 EF-hand_7
TrH2_TrispH2_008537-RA	tRNA_int_endo_N tRNA_int_endo
TrH2_TrispH2_008538-RA	CoaE
TrH2_TrispH2_008539-RA	Glycos_transf_2
TrH2_TrispH2_008540-RA	RRM_1
TrH2_TrispH2_008541-RA	
TrH2_TrispH2_008542-RA	zf-DBF
TrH2_TrispH2_008543-RA	Senescence
TrH2_TrispH2_008544-RA	Arf
TrH2_TrispH2_008545-RA	ATP-synt_ab_N ATP-synt_ab
TrH2_TrispH2_008546-RA	DUF1356
TrH2_TrispH2_008547-RA	PAF-AH_p_II
TrH2_TrispH2_008548-RA	Ribosomal_L7Ae
TrH2_TrispH2_008549-RA	Tubulin Tubulin_C
TrH2_TrispH2_008550-RA	RITA
TrH2_TrispH2_008551-RA	
TrH2_TrispH2_008552-RA	
TrH2_TrispH2_008553-RA	Cpn60_TCP1
TrH2_TrispH2_008554-RA	ERGIC_N COPIIcoated_ERV
TrH2_TrispH2_008555-RA	MAGE
TrH2_TrispH2_008556-RA	BAR_3 PH ArfGap Ank_2 SH3_1
TrH2_TrispH2_008557-RA	Pkinase
TrH2_TrispH2_008558-RA	ECH_1
TrH2_TrispH2_008559-RA	Cupin_8
TrH2_TrispH2_008560-RA	Acyl-CoA_ox_N Acyl-CoA_dh_M ACOX ACOX
TrH2_TrispH2_008561-RA	adh_short
TrH2_TrispH2_008562-RA	
TrH2_TrispH2_008563-RA	Dpoe2NT DNA_pol_E_B Acyl-CoA_ox_N ACOX
TrH2_TrispH2_008564-RA	Acyl-CoA_ox_N Acyl-CoA_dh_M ACOX
TrH2_TrispH2_008565-RA	
TrH2_TrispH2_008566-RA	DSPc mRNA_cap_enzyme mRNA_cap_C
TrH2_TrispH2_008567-RA	SMN
TrH2_TrispH2_008568-RA	EF1_GNE
TrH2_TrispH2_008569-RA	Carn_acyltransf Carn_acyltransf
TrH2_TrispH2_008570-RA	I-set
TrH2_TrispH2_008571-RA	HMG_box HMG_box
TrH2_TrispH2_008572-RA	7tm_1
TrH2_TrispH2_008573-RA	7tm_1
TrH2_TrispH2_008574-RA	Bravo_FIGEY
TrH2_TrispH2_008575-RA	ANF_receptor NCD3G 7tm_3
TrH2_TrispH2_008576-RA	Ig_3 Ig_3 I-set fn3 Bravo_FIGEY
TrH2_TrispH2_008577-RA	Tom7
TrH2_TrispH2_008578-RA	Ank_2 Arm
TrH2_TrispH2_008579-RA	TsaD
TrH2_TrispH2_008580-RA	
TrH2_TrispH2_008581-RA	7tm_1
TrH2_TrispH2_008582-RA	LCM Kelch_4
TrH2_TrispH2_008583-RA	WD40 WD40
TrH2_TrispH2_008584-RA	Rad60-SLD
TrH2_TrispH2_008585-RA	PCAF_N Acetyltransf_1 Bromodomain
TrH2_TrispH2_008586-RA	EFTUD2 GTP_EFTU GTP_EFTU_D2 EFG_IV EFG_C
TrH2_TrispH2_008587-RA	EF-hand_8
TrH2_TrispH2_008588-RA	TTL
TrH2_TrispH2_008589-RA	SH3BP5
TrH2_TrispH2_008590-RA	
TrH2_TrispH2_008591-RA	
TrH2_TrispH2_008592-RA	Mago-bind
TrH2_TrispH2_008593-RA	Cullin Cullin_Nedd8
TrH2_TrispH2_008594-RA	SNAPc_SNAP43
TrH2_TrispH2_008595-RA	ACBP
TrH2_TrispH2_008596-RA	Plug_translocon SecY
TrH2_TrispH2_008597-RA	Par3_HAL_N_term PDZ PDZ
TrH2_TrispH2_008598-RA	GCFC
TrH2_TrispH2_008599-RA	VWD C8 TIL Pacifastin_I VWD C8 TIL TIL VWD C8
TrH2_TrispH2_008600-RA	NIT HNOBA Guanylate_cyc
TrH2_TrispH2_008601-RA	Paf1
TrH2_TrispH2_008602-RA	
TrH2_TrispH2_008603-RA	LRR_1 LRR_8 LRR_6
TrH2_TrispH2_008604-RA	FKBP_C
TrH2_TrispH2_008605-RA	Lectin_C DUF1619
TrH2_TrispH2_008606-RA	mit_SMPDase
TrH2_TrispH2_008607-RA	RRM_1 RRM_1
TrH2_TrispH2_008608-RA	PARG_cat
TrH2_TrispH2_008609-RA	Galactosyl_T
TrH2_TrispH2_008610-RA	
TrH2_TrispH2_008611-RA	
TrH2_TrispH2_008612-RA	C2 C2
TrH2_TrispH2_008613-RA	Ribosomal_S24e
TrH2_TrispH2_008614-RA	CHCH
TrH2_TrispH2_008615-RA	CARD TIR_2
TrH2_TrispH2_008616-RA	
TrH2_TrispH2_008617-RA	Lectin_C
TrH2_TrispH2_008618-RA	
TrH2_TrispH2_008619-RA	Lectin_C TSP_1
TrH2_TrispH2_008620-RA	Aminotran_3
TrH2_TrispH2_008621-RA	DUF1126 DUF1126 DUF1126 EF-hand_7
TrH2_TrispH2_008622-RA	PSS
TrH2_TrispH2_008623-RA	Ribosomal_L5 Ribosomal_L5_C
TrH2_TrispH2_008624-RA	CAP
TrH2_TrispH2_008625-RA	Ribosomal_L19e
TrH2_TrispH2_008626-RA	LRR_8 LRR_8 LRR_8 LRR_8 LRR_8 LRR_8 LRR_8 7tm_1
TrH2_TrispH2_008627-RA	Myb_DNA-binding SWIRM
TrH2_TrispH2_008628-RA	Kinesin HHH_3
TrH2_TrispH2_008629-RA	DHHC
TrH2_TrispH2_008630-RA	WD40 WD40 WD40 Hira
TrH2_TrispH2_008631-RA	Peptidase_M14 CarboxypepD_reg
TrH2_TrispH2_008632-RA	Peptidase_M14 CarboxypepD_reg
TrH2_TrispH2_008633-RA	LRR_6 LRR_6 LRR_6 LRR_6 LRR_6 LRR_6 EF-hand_7
TrH2_TrispH2_008634-RA	Rad9
TrH2_TrispH2_008635-RA	Cgr1
TrH2_TrispH2_008636-RA	
TrH2_TrispH2_008637-RA	DUF953
TrH2_TrispH2_008638-RA	PAXIP1_C
TrH2_TrispH2_008639-RA	B9-C2
TrH2_TrispH2_008640-RA	adh_short
TrH2_TrispH2_008641-RA	GPS2_interact Myb_DNA-binding Myb_DNA-binding
TrH2_TrispH2_008642-RA	Glyoxalase Glyoxalase
TrH2_TrispH2_008643-RA	DUF1325
TrH2_TrispH2_008644-RA	TRAM_LAG1_CLN8
TrH2_TrispH2_008645-RA	Malectin
TrH2_TrispH2_008646-RA	Cpn60_TCP1
TrH2_TrispH2_008647-RA	
TrH2_TrispH2_008648-RA	
TrH2_TrispH2_008649-RA	Med21
TrH2_TrispH2_008650-RA	Cob_adeno_trans
TrH2_TrispH2_008651-RA	Clathrin_propel Clathrin_propel Clathrin_propel Clathrin-link Clathrin_H_link Clathrin Clathrin Clathrin Clathrin Clathrin Clathrin Clathrin
TrH2_TrispH2_008652-RA	
TrH2_TrispH2_008653-RA	7tm_1
TrH2_TrispH2_008654-RA	7tm_1
TrH2_TrispH2_008655-RA	7tm_1
TrH2_TrispH2_008656-RA	SBP56
TrH2_TrispH2_008657-RA	Hexapep
TrH2_TrispH2_008658-RA	Pep_M12B_propep Reprolysin_2
TrH2_TrispH2_008659-RA	EF-hand_7
TrH2_TrispH2_008660-RA	Ank_2 Ank_4
TrH2_TrispH2_008661-RA	Flavokinase
TrH2_TrispH2_008662-RA	Epimerase
TrH2_TrispH2_008663-RA	Methyltransf_25
TrH2_TrispH2_008664-RA	TROVE DUF4062 NACHT APAF1_C WD40 WD40 WD40 WD40 WD40 ANAPC4_WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_008665-RA	Peptidase_M1_N Peptidase_M1 ERAP1_C
TrH2_TrispH2_008666-RA	Peptidase_M1_N Peptidase_M1 ERAP1_C
TrH2_TrispH2_008667-RA	Peptidase_M1_N Peptidase_M1 ERAP1_C
TrH2_TrispH2_008668-RA	Ank_2 Ank_2 Ank_4 Ank_2 Ank_4 Ank_2 Death
TrH2_TrispH2_008669-RA	Peptidase_M1_N Peptidase_M1 ERAP1_C
TrH2_TrispH2_008670-RA	Peptidase_M1_N Peptidase_M1 ERAP1_C
TrH2_TrispH2_008671-RA	Ank_2 Ank_2 Ank_2 Ank_2 Ion_trans
TrH2_TrispH2_008672-RA	
TrH2_TrispH2_008673-RA	Ank_2 Ank_2 Ank_2 Ank_2
TrH2_TrispH2_008674-RA	Ank_4 Ank_4 Ank_2 Ank_2 Ank_2
TrH2_TrispH2_008675-RA	WD40 WD40 WD40 WD40
TrH2_TrispH2_008676-RA	RRM_1 SPOC
TrH2_TrispH2_008677-RA	IFRD IFRD_C
TrH2_TrispH2_008678-RA	
TrH2_TrispH2_008679-RA	p450
TrH2_TrispH2_008680-RA	DUF2370
TrH2_TrispH2_008681-RA	
TrH2_TrispH2_008682-RA	DNA_pol3_delta2
TrH2_TrispH2_008683-RA	Sel1 Sel1 Sel1 Sel1
TrH2_TrispH2_008684-RA	Pkinase_Tyr
TrH2_TrispH2_008685-RA	Pkinase
TrH2_TrispH2_008686-RA	Pkinase
TrH2_TrispH2_008687-RA	Pkinase_Tyr
TrH2_TrispH2_008688-RA	Pkinase
TrH2_TrispH2_008689-RA	Pkinase_Tyr
TrH2_TrispH2_008690-RA	
TrH2_TrispH2_008691-RA	7tm_1
TrH2_TrispH2_008692-RA	7tm_1
TrH2_TrispH2_008693-RA	p450
TrH2_TrispH2_008694-RA	p450
TrH2_TrispH2_008695-RA	T4_deiodinase
TrH2_TrispH2_008696-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_008697-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_008698-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_008699-RA	AMP-binding_C
TrH2_TrispH2_008700-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_008701-RA	p450
TrH2_TrispH2_008702-RA	p450
TrH2_TrispH2_008703-RA	p450
TrH2_TrispH2_008704-RA	p450
TrH2_TrispH2_008705-RA	p450
TrH2_TrispH2_008706-RA	p450
TrH2_TrispH2_008707-RA	p450
TrH2_TrispH2_008708-RA	p450
TrH2_TrispH2_008709-RA	p450
TrH2_TrispH2_008710-RA	Arm
TrH2_TrispH2_008711-RA	
TrH2_TrispH2_008712-RA	p450
TrH2_TrispH2_008713-RA	p450
TrH2_TrispH2_008714-RA	Aa_trans
TrH2_TrispH2_008715-RA	Sedlin_N
TrH2_TrispH2_008716-RA	
TrH2_TrispH2_008717-RA	EHN
TrH2_TrispH2_008718-RA	EHN
TrH2_TrispH2_008719-RA	p450
TrH2_TrispH2_008720-RA	Ribosomal_S21
TrH2_TrispH2_008721-RA	PGM_PMM_I PGM_PMM_II PGM_PMM_III PGM_PMM_IV
TrH2_TrispH2_008722-RA	CP2
TrH2_TrispH2_008723-RA	BIR
TrH2_TrispH2_008724-RA	Ank_3 Ank_2 DHHC
TrH2_TrispH2_008725-RA	Folate_rec
TrH2_TrispH2_008726-RA	Ank_2
TrH2_TrispH2_008727-RA	Pkinase
TrH2_TrispH2_008728-RA	FRG1
TrH2_TrispH2_008729-RA	adh_short_C2
TrH2_TrispH2_008730-RA	GPS 7tm_2
TrH2_TrispH2_008731-RA	PNP_UDP_1
TrH2_TrispH2_008732-RA	HELP WD40 WD40 WD40 WD40 HELP WD40 WD40 WD40 WD40 HELP ANAPC4_WD40 WD40
TrH2_TrispH2_008733-RA	DUF5582
TrH2_TrispH2_008734-RA	CDP-OH_P_transf
TrH2_TrispH2_008735-RA	Acetyltransf_1
TrH2_TrispH2_008736-RA	CNRIP1
TrH2_TrispH2_008737-RA	Kelch_4 Kelch_4 Kelch_4
TrH2_TrispH2_008738-RA	
TrH2_TrispH2_008739-RA	FYVE ZFYVE21_C
TrH2_TrispH2_008740-RA	DUF4477
TrH2_TrispH2_008741-RA	Amidohydro_3
TrH2_TrispH2_008742-RA	Amidohydro_3
TrH2_TrispH2_008743-RA	
TrH2_TrispH2_008744-RA	
TrH2_TrispH2_008745-RA	DAO
TrH2_TrispH2_008746-RA	RhoGEF PH RasGEF
TrH2_TrispH2_008747-RA	TPR_12 TPR_12 TPR_10 TPR_12 TPR_12 TPR_8 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_10
TrH2_TrispH2_008748-RA	SH2
TrH2_TrispH2_008749-RA	SH2
TrH2_TrispH2_008750-RA	C1_1 C1_1
TrH2_TrispH2_008751-RA	EF-hand_7
TrH2_TrispH2_008752-RA	7tm_1
TrH2_TrispH2_008753-RA	
TrH2_TrispH2_008754-RA	7tm_1
TrH2_TrispH2_008755-RA	TF_Zn_Ribbon TFIIB TFIIB BRF1
TrH2_TrispH2_008756-RA	Alpha-amylase
TrH2_TrispH2_008757-RA	Peptidase_S9_N Peptidase_S9
TrH2_TrispH2_008758-RA	Arrestin_N Arrestin_C
TrH2_TrispH2_008759-RA	Ras
TrH2_TrispH2_008760-RA	
TrH2_TrispH2_008761-RA	Amino_oxidase
TrH2_TrispH2_008762-RA	Methyltransf_8
TrH2_TrispH2_008763-RA	MGAT2
TrH2_TrispH2_008764-RA	Astacin Laminin_G_3
TrH2_TrispH2_008765-RA	Astacin Laminin_G_3
TrH2_TrispH2_008766-RA	ABC_membrane ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_008767-RA	ABC_membrane ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_008768-RA	ABC_membrane ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_008769-RA	ABC_membrane ABC_membrane ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_008770-RA	Dynamin_N
TrH2_TrispH2_008771-RA	Dynamin_N Pkinase_Tyr Dynamin_N Pkinase_Tyr
TrH2_TrispH2_008772-RA	Dynamin_N
TrH2_TrispH2_008773-RA	Dynamin_N
TrH2_TrispH2_008774-RA	
TrH2_TrispH2_008775-RA	Dynamin_N Pkinase
TrH2_TrispH2_008776-RA	Dynamin_N
TrH2_TrispH2_008777-RA	Dynamin_N
TrH2_TrispH2_008778-RA	Dynamin_N Pkinase_Tyr
TrH2_TrispH2_008779-RA	ANF_receptor 7tm_3
TrH2_TrispH2_008781-RA	zf-C3Hc3H zf-C3Hc3H
TrH2_TrispH2_008782-RA	AAA AAA_lid_3 Peptidase_M41
TrH2_TrispH2_008783-RA	Cyclin_N
TrH2_TrispH2_008784-RA	RRM_1
TrH2_TrispH2_008785-RA	BTB BACK Kelch_1 Kelch_1 Kelch_1 Kelch_1 Kelch_1 Kelch_1
TrH2_TrispH2_008786-RA	Bax1-I
TrH2_TrispH2_008787-RA	EPSP_synthase
TrH2_TrispH2_008788-RA	
TrH2_TrispH2_008789-RA	
TrH2_TrispH2_008790-RA	
TrH2_TrispH2_008791-RA	
TrH2_TrispH2_008792-RA	
TrH2_TrispH2_008793-RA	
TrH2_TrispH2_008794-RA	
TrH2_TrispH2_008795-RA	
TrH2_TrispH2_008796-RA	NOG1_N NOG1 NOGCT
TrH2_TrispH2_008797-RA	Pkinase_Tyr
TrH2_TrispH2_008798-RA	Pkinase
TrH2_TrispH2_008799-RA	Tyr_Deacylase
TrH2_TrispH2_008800-RA	Pex2_Pex12 zf-C3HC4_2
TrH2_TrispH2_008801-RA	AAA ORC4_C
TrH2_TrispH2_008802-RA	NB-ARC APAF1_C
TrH2_TrispH2_008803-RA	7tm_1
TrH2_TrispH2_008804-RA	
TrH2_TrispH2_008805-RA	Proteasome_A_N Proteasome
TrH2_TrispH2_008806-RA	NAD_binding_2 NAD_binding_11
TrH2_TrispH2_008807-RA	
TrH2_TrispH2_008808-RA	
TrH2_TrispH2_008809-RA	Laminin_G_2 Laminin_G_2 Laminin_G_2
TrH2_TrispH2_008810-RA	
TrH2_TrispH2_008811-RA	Laminin_G_2 Laminin_G_2 Laminin_G_2
TrH2_TrispH2_008812-RA	BPL_LplA_LipB BPL_C
TrH2_TrispH2_008813-RA	7tm_1
TrH2_TrispH2_008814-RA	2OG-FeII_Oxy_4
TrH2_TrispH2_008815-RA	2OG-FeII_Oxy_4 2OG-FeII_Oxy_3
TrH2_TrispH2_008816-RA	2OG-FeII_Oxy_4 2OG-FeII_Oxy_3
TrH2_TrispH2_008817-RA	2OG-FeII_Oxy_4 2OG-FeII_Oxy_3
TrH2_TrispH2_008818-RA	PapD-like ASH
TrH2_TrispH2_008819-RA	Peptidase_S10
TrH2_TrispH2_008820-RA	GST_N_4 GST_C_6
TrH2_TrispH2_008821-RA	Cupin_8
TrH2_TrispH2_008822-RA	Cupin_8
TrH2_TrispH2_008823-RA	Cupin_8
TrH2_TrispH2_008824-RA	Cupin_8
TrH2_TrispH2_008825-RA	Cupin_8
TrH2_TrispH2_008826-RA	Cupin_8
TrH2_TrispH2_008827-RA	Cupin_8
TrH2_TrispH2_008828-RA	zf-RING_2
TrH2_TrispH2_008829-RA	
TrH2_TrispH2_008830-RA	HTH_28 DDE_3
TrH2_TrispH2_008831-RA	
TrH2_TrispH2_008832-RA	
TrH2_TrispH2_008833-RA	zf-CCHC_2 zf-3CxxC_2
TrH2_TrispH2_008834-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
TrH2_TrispH2_008835-RA	DUF3523 AAA
TrH2_TrispH2_008836-RA	
TrH2_TrispH2_008837-RA	ALG3
TrH2_TrispH2_008838-RA	Folate_rec
TrH2_TrispH2_008839-RA	
TrH2_TrispH2_008840-RA	Elong_Iki1
TrH2_TrispH2_008841-RA	UBX
TrH2_TrispH2_008842-RA	DEAD Helicase_C
TrH2_TrispH2_008843-RA	
TrH2_TrispH2_008844-RA	
TrH2_TrispH2_008845-RA	7tm_1
TrH2_TrispH2_008846-RA	TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12
TrH2_TrispH2_008847-RA	TPR_12 TPR_12 TPR_12 TPR_10
TrH2_TrispH2_008848-RA	
TrH2_TrispH2_008849-RA	UQ_con
TrH2_TrispH2_008850-RA	7tm_1
TrH2_TrispH2_008851-RA	RINT1_TIP1
TrH2_TrispH2_008852-RA	7tm_1
TrH2_TrispH2_008853-RA	Ank_2 Ank Ank_2 Ank_2 Ank_2 Ank_2 Ion_trans
TrH2_TrispH2_008854-RA	7tm_1
TrH2_TrispH2_008855-RA	7tm_1
TrH2_TrispH2_008856-RA	7tm_1
TrH2_TrispH2_008857-RA	7tm_1
TrH2_TrispH2_008858-RA	Galactosyl_T
TrH2_TrispH2_008859-RA	7tm_1
TrH2_TrispH2_008860-RA	7tm_1
TrH2_TrispH2_008861-RA	7tm_1
TrH2_TrispH2_008862-RA	HGTP_anticodon
TrH2_TrispH2_008863-RA	
TrH2_TrispH2_008865-RA	TMF_DNA_bd TMF_TATA_bd
TrH2_TrispH2_008866-RA	Pkinase PH_3
TrH2_TrispH2_008867-RA	
TrH2_TrispH2_008868-RA	Methyltransf_16
TrH2_TrispH2_008869-RA	PhzC-PhzF
TrH2_TrispH2_008870-RA	
TrH2_TrispH2_008871-RA	
TrH2_TrispH2_008872-RA	Orn_Arg_deC_N Orn_DAP_Arg_deC
TrH2_TrispH2_008873-RA	Orn_Arg_deC_N Orn_DAP_Arg_deC
TrH2_TrispH2_008874-RA	Orn_Arg_deC_N Orn_DAP_Arg_deC
TrH2_TrispH2_008875-RA	
TrH2_TrispH2_008876-RA	
TrH2_TrispH2_008877-RA	LEM Ank_5
TrH2_TrispH2_008878-RA	Erf4
TrH2_TrispH2_008879-RA	GRAM Myotub-related
TrH2_TrispH2_008880-RA	TPR_12 TPR_12 TPR_12 COR
TrH2_TrispH2_008881-RA	TPR_12 TPR_12
TrH2_TrispH2_008882-RA	tRNA-synt_1 tRNA-synt_1 Anticodon_1
TrH2_TrispH2_008883-RA	CS
TrH2_TrispH2_008884-RA	WD40 WD40 ANAPC4_WD40 WD40
TrH2_TrispH2_008885-RA	
TrH2_TrispH2_008886-RA	
TrH2_TrispH2_008887-RA	
TrH2_TrispH2_008888-RA	
TrH2_TrispH2_008889-RA	
TrH2_TrispH2_008890-RA	
TrH2_TrispH2_008891-RA	
TrH2_TrispH2_008892-RA	
TrH2_TrispH2_008893-RA	
TrH2_TrispH2_008894-RA	Ribosomal_L22
TrH2_TrispH2_008895-RA	FSA_C FSA_C
TrH2_TrispH2_008896-RA	7tm_1
TrH2_TrispH2_008897-RA	Peptidase_M24
TrH2_TrispH2_008898-RA	Peptidase_M24
TrH2_TrispH2_008899-RA	
TrH2_TrispH2_008900-RA	NB-ARC APAF1_C
TrH2_TrispH2_008901-RA	
TrH2_TrispH2_008902-RA	NPR3 NPR3
TrH2_TrispH2_008903-RA	Mago_nashi
TrH2_TrispH2_008904-RA	Arf
TrH2_TrispH2_008905-RA	AI-2E_transport
TrH2_TrispH2_008906-RA	OATP Kazal_2
TrH2_TrispH2_008907-RA	
TrH2_TrispH2_008908-RA	OATP Kazal_2
TrH2_TrispH2_008909-RA	OATP Kazal_2
TrH2_TrispH2_008910-RA	
TrH2_TrispH2_008911-RA	
TrH2_TrispH2_008912-RA	
TrH2_TrispH2_008913-RA	TPR_8 TPR_8 TPR_8
TrH2_TrispH2_008914-RA	
TrH2_TrispH2_008915-RA	Peptidase_C13
TrH2_TrispH2_008916-RA	
TrH2_TrispH2_008917-RA	p450
TrH2_TrispH2_008918-RA	p450
TrH2_TrispH2_008919-RA	p450
TrH2_TrispH2_008920-RA	p450
TrH2_TrispH2_008921-RA	Med27
TrH2_TrispH2_008922-RA	Swi5
TrH2_TrispH2_008923-RA	HMG_box
TrH2_TrispH2_008924-RA	HNOB HNOBA HNOBA Guanylate_cyc
TrH2_TrispH2_008925-RA	zf-CCCH
TrH2_TrispH2_008926-RA	zf_ZIC zf-C2H2 zf-C2H2
TrH2_TrispH2_008927-RA	
TrH2_TrispH2_008928-RA	WD40 WD40 WD40
TrH2_TrispH2_008929-RA	RRM_1
TrH2_TrispH2_008930-RA	DUF1794
TrH2_TrispH2_008931-RA	WD40 WD40 WD40
TrH2_TrispH2_008932-RA	
TrH2_TrispH2_008933-RA	
TrH2_TrispH2_008934-RA	Abhydrolase_2
TrH2_TrispH2_008935-RA	DUF4205
TrH2_TrispH2_008936-RA	Biotin_carb_N CPSase_L_D2 Biotin_carb_C Biotin_lipoyl
TrH2_TrispH2_008937-RA	
TrH2_TrispH2_008938-RA	RabGAP-TBC
TrH2_TrispH2_008939-RA	
TrH2_TrispH2_008940-RA	
TrH2_TrispH2_008941-RA	Peptidase_C54
TrH2_TrispH2_008942-RA	DAGK_cat
TrH2_TrispH2_008943-RA	OTU
TrH2_TrispH2_008944-RA	
TrH2_TrispH2_008945-RA	
TrH2_TrispH2_008946-RA	MutS_I MutS_II MutS_III MutS_V
TrH2_TrispH2_008947-RA	Bcl-2
TrH2_TrispH2_008948-RA	Rab5ip
TrH2_TrispH2_008949-RA	7tm_1
TrH2_TrispH2_008950-RA	
TrH2_TrispH2_008951-RA	
TrH2_TrispH2_008952-RA	ATP_bind_1
TrH2_TrispH2_008953-RA	Actin
TrH2_TrispH2_008954-RA	
TrH2_TrispH2_008955-RA	Frag1
TrH2_TrispH2_008956-RA	Actin
TrH2_TrispH2_008957-RA	Frag1
TrH2_TrispH2_008958-RA	zf-RanBP Peptidase_C2
TrH2_TrispH2_008959-RA	
TrH2_TrispH2_008960-RA	Cation_efflux
TrH2_TrispH2_008961-RA	ATP-synt_C ATP-synt_C
TrH2_TrispH2_008962-RA	HATPase_c HSP90
TrH2_TrispH2_008963-RA	PGK
TrH2_TrispH2_008964-RA	WD40 WD40 WD40 WD40 WD40 Utp12
TrH2_TrispH2_008965-RA	LRR_4
TrH2_TrispH2_008966-RA	SprT-like
TrH2_TrispH2_008967-RA	
TrH2_TrispH2_008968-RA	Myotub-related
TrH2_TrispH2_008969-RA	Peptidase_C12
TrH2_TrispH2_008970-RA	Pam17
TrH2_TrispH2_008971-RA	7tm_1
TrH2_TrispH2_008972-RA	
TrH2_TrispH2_008973-RA	
TrH2_TrispH2_008974-RA	7tm_1
TrH2_TrispH2_008975-RA	7tm_1
TrH2_TrispH2_008976-RA	7tm_1
TrH2_TrispH2_008977-RA	7tm_1
TrH2_TrispH2_008978-RA	
TrH2_TrispH2_008979-RA	7tm_1
TrH2_TrispH2_008980-RA	7tm_1
TrH2_TrispH2_008981-RA	Septin
TrH2_TrispH2_008982-RA	CD36
TrH2_TrispH2_008983-RA	COMM_domain
TrH2_TrispH2_008984-RA	Transket_pyr Transketolase_C
TrH2_TrispH2_008985-RA	NTP_transf_7
TrH2_TrispH2_008986-RA	Abhydrolase_1
TrH2_TrispH2_008987-RA	PapD-like CH
TrH2_TrispH2_008988-RA	COX17
TrH2_TrispH2_008989-RA	ARID BAF250_C
TrH2_TrispH2_008990-RA	LRR_8 LRR_8 7tm_1
TrH2_TrispH2_008991-RA	LRR_8
TrH2_TrispH2_008992-RA	LRR_8 LRR_8
TrH2_TrispH2_008993-RA	LRRNT
TrH2_TrispH2_008994-RA	Pkinase
TrH2_TrispH2_008995-RA	Sua5_yciO_yrdC Sua5_yciO_yrdC
TrH2_TrispH2_008996-RA	FYVE_2 C2
TrH2_TrispH2_008997-RA	E1_dh
TrH2_TrispH2_008998-RA	EHD_N Dynamin_N DUF5600 EF-hand_4
TrH2_TrispH2_008999-RA	EHD_N Dynamin_N DUF5600 EF-hand_4
